"Timestamp","GENDER","AGE RANGE","FACULTY","LEVEL","How often do you exercise ","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise enhances my ability to concentrate and focus]","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise can be an effective way to manage symptoms of depression]","Knowledge and awareness on psychological benefits of exercise [Exercise is an effective way to boost self esteem and confidence]","Exercise Frequency  [I am proud of the amount of exercise I do]","Exercise Frequency  [I feel more confident and self assured when I engage in regular physical activity]","Exercise Frequency  [I believe that maintaining a consistent exercise frequency is essential for my psychological wellbeing]","Exercise duration [Engaging in exercise sessions lasting less than 10 minutes positively affects my psychological wellbeing]","Exercise duration [I feel more psychologically refreshed after exercising for 30 minutes or longer]","Exercise duration [The longer I exercise (over 60 minutes), the more beneficial it is for my overall psychological wellbeing]","Exercise Intensity  [I feel more relaxed after engaging in high-intensity exercise]","Exercise Intensity  [High intensity exercise contributes to better sleep quality for me]","Exercise Intensity  [I find that vigorous exercise boosts my overall sense of well-being]","Stress [Regular exercise helps me manage and reduce my stress levels]","Stress [Exercise helps to reduce the tension in me]","Stress [Exercise is an effective way for me to relax and unwind]","Stress [I personally feel that exercise is the best thing for me]","Mood [I experience an improved mood after engaging in exercise]","Mood [I feel happier and more relaxed after engaging in regular exercise]","Mood [I experience an increase in energy and motivation through regular exercise]"
"2023/09/23 9:08:07 am CET","Male","21-25","Education","100","Once or twice a month","More True","True","More True","True","More True","More True","False","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:08:46 am CET","Male","21-25","Education","200","Once a week","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:09:17 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:09:50 am CET","Male","21-25","Education","400","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:12:19 am CET","Male","21-25","Education","100","Several times a week","More True","True","More True","More True","More True","True","True","True","True","True","True","True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:13:05 am CET","Male","21-25","Education","200","Hardly ever","True","True","True","False","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/23 9:15:44 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:16:43 am CET","Male","21-25","Education","400","Hardly ever","True","True","True","False","True","True","True","True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:17:24 am CET","Male","21-25","Education","100","Once or twice a month","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:19:12 am CET","Male","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 6:27:50 am CET","Female","21-25","Education","100","Once or twice a month","More True","More True","More True","True","More True","True","True","True","True","True","More True","More True","More True","More True","More True","True","More True","More True","More True"
"2023/09/24 6:28:58 am CET","Female","16-20","Education","200","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/24 6:35:21 am CET","Female","21-25","Education","300","Once a week","More True","True","More True","More True","More True","More True","More True","More True","More True","True","True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 6:47:20 am CET","Female","21-25","Education","400","Hardly ever","True","True","True","More False","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/24 6:48:08 am CET","Female","16-20","Education","100","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
